error,execution_time,example_id,suite,case_type_codes,difficulty,case_family,inference_type,query_style,requires_diagram,requires_table,metadata.id,metadata.notes,metadata.suite,metadata.case_type_codes,metadata.difficulty,metadata.case_family,metadata.inference_type,metadata.query_style,metadata.requires_diagram,metadata.requires_table,inputs.question,outputs.error,outputs.error_type,reference.reference,reference.expected_diagram_ids,reference.acceptable_diagram_ids,reference.near_miss_diagram_ids,reference.expected_party_type,reference.expected_location,reference.expected_chunk_types,reference.expected_keywords,reference.requires_diagram,reference.requires_table,feedback.diagram_id_hit,feedback.diagram_id_hit.comment,feedback.location_match,feedback.location_match.comment,feedback.party_type_match,feedback.party_type_match.comment,feedback.chunk_type_match,feedback.chunk_type_match.comment,feedback.keyword_coverage,feedback.keyword_coverage.comment,feedback.near_miss_not_above_expected,feedback.near_miss_not_above_expected.comment,feedback.retrieval_relevance,feedback.retrieval_relevance.comment,feedback.critical_error,feedback.critical_error.comment
Object of type float32 is not JSON serializable,1.8498700969998936,retrieval_011,retrieval,"[""CLARITY_IMPLICIT"", ""META_INTERSECTION"", ""RET_DIAGRAM"", ""RET_TABLE"", ""RET_NEAR_MISS""]",medium,car_intersection,implicit_metadata,colloquial,True,True,retrieval_011,,retrieval,"[""CLARITY_IMPLICIT"", ""META_INTERSECTION"", ""RET_DIAGRAM"", ""RET_TABLE"", ""RET_NEAR_MISS""]",medium,car_intersection,implicit_metadata,colloquial,True,True,제가 녹색 비보호 좌회전하다가 맞은편 녹색 직진차랑 박았어요.,Object of type float32 is not JSON serializable,TypeError,,"[""차2-6""]",[],"[""차2-2"", ""차2-1""]",,,[],"[""차2-6"", ""녹색 비보호 좌회전"", ""맞은편 녹색 직진"", ""A90"", ""B10""]",True,True,0,"expected_or_acceptable=['차2-6'], actual_topk=[]",1,No expected location.,1,No expected party_type.,1,No expected chunk_type.,0.0,"matched=[], total=5",0.0,"expected_rank=None, near_miss_rank=None, actual_topk=[]",0.6,Average of diagram/location/party/chunk/keyword retrieval checks.,1,1 means a critical retrieval mismatch was detected.
Object of type float32 is not JSON serializable,1.8693453559999398,retrieval_012,retrieval,"[""CLARITY_IMPLICIT"", ""META_INTERSECTION"", ""RET_DIAGRAM"", ""RET_TABLE"", ""RET_NEAR_MISS""]",medium,car_intersection,implicit_metadata,natural,True,True,retrieval_012,,retrieval,"[""CLARITY_IMPLICIT"", ""META_INTERSECTION"", ""RET_DIAGRAM"", ""RET_TABLE"", ""RET_NEAR_MISS""]",medium,car_intersection,implicit_metadata,natural,True,True,적색 신호에 직진하던 차와 적색 신호에 좌회전하던 차가 교차로에서 충돌했어요.,Object of type float32 is not JSON serializable,TypeError,,"[""차3-2""]",[],"[""차2-1"", ""차16-1""]",,,[],"[""차3-2"", ""적색직진"", ""적색좌회전"", ""A50"", ""B50""]",True,True,0,"expected_or_acceptable=['차3-2'], actual_topk=[]",1,No expected location.,1,No expected party_type.,1,No expected chunk_type.,0.0,"matched=[], total=5",0.0,"expected_rank=None, near_miss_rank=None, actual_topk=[]",0.6,Average of diagram/location/party/chunk/keyword retrieval checks.,1,1 means a critical retrieval mismatch was detected.
Object of type float32 is not JSON serializable,1.9370460099999036,retrieval_013,retrieval,"[""CLARITY_EXPLICIT"", ""META_INTERSECTION"", ""RET_DIAGRAM"", ""RET_TABLE"", ""RET_NEAR_MISS""]",medium,car_intersection,explicit_keyword,formal,True,True,retrieval_013,,retrieval,"[""CLARITY_EXPLICIT"", ""META_INTERSECTION"", ""RET_DIAGRAM"", ""RET_TABLE"", ""RET_NEAR_MISS""]",medium,car_intersection,explicit_keyword,formal,True,True,한쪽 신호등 있는 교차로에서 보행자신호에 우회전한 차와 녹색 직진차 사고 기준,Object of type float32 is not JSON serializable,TypeError,,"[""차5-2""]",[],"[""차13-1"", ""차2-2""]",,,[],"[""차5-2"", ""보행자신호 우회전"", ""녹색신호직진"", ""A100"", ""B0""]",True,True,0,"expected_or_acceptable=['차5-2'], actual_topk=[]",1,No expected location.,1,No expected party_type.,1,No expected chunk_type.,0.0,"matched=[], total=5",0.0,"expected_rank=None, near_miss_rank=None, actual_topk=[]",0.6,Average of diagram/location/party/chunk/keyword retrieval checks.,1,1 means a critical retrieval mismatch was detected.
Object of type float32 is not JSON serializable,1.914485114999934,retrieval_014,retrieval,"[""CLARITY_EXPLICIT"", ""META_INTERSECTION"", ""RET_DIAGRAM"", ""RET_TABLE"", ""RET_NEAR_MISS""]",medium,car_intersection,explicit_keyword,natural,True,True,retrieval_014,,retrieval,"[""CLARITY_EXPLICIT"", ""META_INTERSECTION"", ""RET_DIAGRAM"", ""RET_TABLE"", ""RET_NEAR_MISS""]",medium,car_intersection,explicit_keyword,natural,True,True,신호등 없는 교차로에서 오른쪽 도로의 우회전차와 왼쪽 도로의 직진차가 부딪혔어요.,Object of type float32 is not JSON serializable,TypeError,,"[""차13-1""]",[],"[""차16-1"", ""차5-2""]",,,[],"[""차13-1"", ""오른쪽 우회전"", ""왼쪽 직진"", ""A60"", ""B40""]",True,True,0,"expected_or_acceptable=['차13-1'], actual_topk=[]",1,No expected location.,1,No expected party_type.,1,No expected chunk_type.,0.0,"matched=[], total=5",0.0,"expected_rank=None, near_miss_rank=None, actual_topk=[]",0.6,Average of diagram/location/party/chunk/keyword retrieval checks.,1,1 means a critical retrieval mismatch was detected.
Object of type float32 is not JSON serializable,1.9655269390000285,retrieval_015,retrieval,"[""CLARITY_EXPLICIT"", ""META_INTERSECTION"", ""RET_DIAGRAM"", ""RET_TABLE"", ""RET_NEAR_MISS""]",medium,car_intersection,explicit_keyword,formal,True,True,retrieval_015,,retrieval,"[""CLARITY_EXPLICIT"", ""META_INTERSECTION"", ""RET_DIAGRAM"", ""RET_TABLE"", ""RET_NEAR_MISS""]",medium,car_intersection,explicit_keyword,formal,True,True,신호 없는 교차로에서 오른쪽 도로 직진차와 왼쪽 도로 좌회전차가 충돌했습니다.,Object of type float32 is not JSON serializable,TypeError,,"[""차16-2""]",[],"[""차16-1"", ""차13-1""]",,,[],"[""차16-2"", ""오른쪽 직진"", ""왼쪽 좌회전"", ""A30"", ""B70""]",True,True,0,"expected_or_acceptable=['차16-2'], actual_topk=[]",1,No expected location.,1,No expected party_type.,1,No expected chunk_type.,0.0,"matched=[], total=5",0.0,"expected_rank=None, near_miss_rank=None, actual_topk=[]",0.6,Average of diagram/location/party/chunk/keyword retrieval checks.,1,1 means a critical retrieval mismatch was detected.
Object of type float32 is not JSON serializable,1.873125926999819,retrieval_016,retrieval,"[""CLARITY_EXPLICIT"", ""META_INTERSECTION"", ""RET_DIAGRAM"", ""RET_TABLE"", ""RET_NEAR_MISS""]",hard,car_intersection,implicit_metadata,colloquial,True,True,retrieval_016,,retrieval,"[""CLARITY_EXPLICIT"", ""META_INTERSECTION"", ""RET_DIAGRAM"", ""RET_TABLE"", ""RET_NEAR_MISS""]",hard,car_intersection,implicit_metadata,colloquial,True,True,"신호 없는 사거리에서 제 차는 왼쪽 도로에서 직진, 상대는 제 진행방향 오른쪽 도로에서 좌회전하다 박았어요.",Object of type float32 is not JSON serializable,TypeError,,"[""차16-1""]",[],"[""차16-2"", ""차13-1""]",,,[],"[""차16-1"", ""왼쪽 직진"", ""오른쪽 좌회전"", ""A40"", ""B60""]",True,True,0,"expected_or_acceptable=['차16-1'], actual_topk=[]",1,No expected location.,1,No expected party_type.,1,No expected chunk_type.,0.0,"matched=[], total=5",0.0,"expected_rank=None, near_miss_rank=None, actual_topk=[]",0.6,Average of diagram/location/party/chunk/keyword retrieval checks.,1,1 means a critical retrieval mismatch was detected.
Object of type float32 is not JSON serializable,2.0481292380000014,retrieval_017,retrieval,"[""CLARITY_IMPLICIT"", ""META_SAME_DIRECTION"", ""RET_DIAGRAM"", ""RET_TABLE"", ""RET_NEAR_MISS""]",easy,bicycle_same_direction,explicit_keyword,formal,True,True,retrieval_017,,retrieval,"[""CLARITY_IMPLICIT"", ""META_SAME_DIRECTION"", ""RET_DIAGRAM"", ""RET_TABLE"", ""RET_NEAR_MISS""]",easy,bicycle_same_direction,explicit_keyword,formal,True,True,자전거를 같은 차로에서 뒤따르던 자동차가 추돌한 사고 기준,Object of type float32 is not JSON serializable,TypeError,,"[""거31-1""]",[],"[""거31-2"", ""거32-1""]",,,[],"[""거31-1"", ""자동차 추돌 사고"", ""A0"", ""B100""]",True,True,0,"expected_or_acceptable=['거31-1'], actual_topk=[]",1,No expected location.,1,No expected party_type.,1,No expected chunk_type.,0.0,"matched=[], total=4",0.0,"expected_rank=None, near_miss_rank=None, actual_topk=[]",0.6,Average of diagram/location/party/chunk/keyword retrieval checks.,1,1 means a critical retrieval mismatch was detected.
Object of type float32 is not JSON serializable,1.7547525420000056,retrieval_018,retrieval,"[""CLARITY_IMPLICIT"", ""META_SAME_DIRECTION"", ""RET_DIAGRAM"", ""RET_TABLE"", ""RET_NEAR_MISS""]",medium,car_same_direction,explicit_keyword,natural,True,True,retrieval_018,,retrieval,"[""CLARITY_IMPLICIT"", ""META_SAME_DIRECTION"", ""RET_DIAGRAM"", ""RET_TABLE"", ""RET_NEAR_MISS""]",medium,car_same_direction,explicit_keyword,natural,True,True,선행 사고가 처리되지 않아 도로에 정차 중인 차량을 뒤에서 들이받은 2차 추돌 사고,Object of type float32 is not JSON serializable,TypeError,,"[""차42-1""]",[],"[""차42-2"", ""차41-1""]",,,[],"[""차42-1"", ""선행 사고"", ""주정차"", ""A80"", ""B20""]",True,True,0,"expected_or_acceptable=['차42-1'], actual_topk=[]",1,No expected location.,1,No expected party_type.,1,No expected chunk_type.,0.0,"matched=[], total=5",0.0,"expected_rank=None, near_miss_rank=None, actual_topk=[]",0.6,Average of diagram/location/party/chunk/keyword retrieval checks.,1,1 means a critical retrieval mismatch was detected.
Object of type float32 is not JSON serializable,1.7756618829998843,retrieval_019,retrieval,"[""CLARITY_IMPLICIT"", ""META_SAME_DIRECTION"", ""RET_DIAGRAM"", ""RET_TABLE"", ""RET_NEAR_MISS""]",medium,bicycle_same_direction,implicit_metadata,natural,True,True,retrieval_019,,retrieval,"[""CLARITY_IMPLICIT"", ""META_SAME_DIRECTION"", ""RET_DIAGRAM"", ""RET_TABLE"", ""RET_NEAR_MISS""]",medium,bicycle_same_direction,implicit_metadata,natural,True,True,앞 자전거가 진로변경하다가 뒤에서 직진하던 자동차와 부딪힌 사고,Object of type float32 is not JSON serializable,TypeError,,"[""거32-1""]",[],"[""거31-1"", ""거33-1""]",,,[],"[""거32-1"", ""진로변경 자전거"", ""후행 직진 자동차"", ""A50"", ""B50""]",True,True,0,"expected_or_acceptable=['거32-1'], actual_topk=[]",1,No expected location.,1,No expected party_type.,1,No expected chunk_type.,0.0,"matched=[], total=5",0.0,"expected_rank=None, near_miss_rank=None, actual_topk=[]",0.6,Average of diagram/location/party/chunk/keyword retrieval checks.,1,1 means a critical retrieval mismatch was detected.
Object of type float32 is not JSON serializable,1.9288972949998424,retrieval_020,retrieval,"[""CLARITY_IMPLICIT"", ""META_SAME_DIRECTION"", ""RET_DIAGRAM"", ""RET_TABLE"", ""RET_NEAR_MISS""]",medium,bicycle_same_direction,explicit_keyword,formal,True,True,retrieval_020,,retrieval,"[""CLARITY_IMPLICIT"", ""META_SAME_DIRECTION"", ""RET_DIAGRAM"", ""RET_TABLE"", ""RET_NEAR_MISS""]",medium,bicycle_same_direction,explicit_keyword,formal,True,True,도로가 아닌 장소에서 도로로 진입한 자동차와 직진 자전거가 충돌했습니다.,Object of type float32 is not JSON serializable,TypeError,,"[""거33-1""]",[],"[""거32-1"", ""거31-1""]",,,[],"[""거33-1"", ""도로가 아닌 장소"", ""직진"", ""A5"", ""B95""]",True,True,0,"expected_or_acceptable=['거33-1'], actual_topk=[]",1,No expected location.,1,No expected party_type.,1,No expected chunk_type.,0.0,"matched=[], total=5",0.0,"expected_rank=None, near_miss_rank=None, actual_topk=[]",0.6,Average of diagram/location/party/chunk/keyword retrieval checks.,1,1 means a critical retrieval mismatch was detected.
Object of type float32 is not JSON serializable,1.7809994609997375,retrieval_021,retrieval,"[""CLARITY_IMPLICIT"", ""META_SAME_DIRECTION"", ""RET_DIAGRAM"", ""RET_TABLE"", ""RET_NEAR_MISS""]",hard,bicycle_same_direction,implicit_metadata,colloquial,True,True,retrieval_021,,retrieval,"[""CLARITY_IMPLICIT"", ""META_SAME_DIRECTION"", ""RET_DIAGRAM"", ""RET_TABLE"", ""RET_NEAR_MISS""]",hard,bicycle_same_direction,implicit_metadata,colloquial,True,True,자전거가 앞 자동차를 뒤에서 들이받았는데 기본 기준이 뭔가요?,Object of type float32 is not JSON serializable,TypeError,,"[""거31-2""]",[],"[""거31-1"", ""거32-1""]",,,[],"[""거31-2"", ""자전거 추돌 사고"", ""A100"", ""B0""]",True,True,0,"expected_or_acceptable=['거31-2'], actual_topk=[]",1,No expected location.,1,No expected party_type.,1,No expected chunk_type.,0.0,"matched=[], total=4",0.0,"expected_rank=None, near_miss_rank=None, actual_topk=[]",0.6,Average of diagram/location/party/chunk/keyword retrieval checks.,1,1 means a critical retrieval mismatch was detected.
Object of type float32 is not JSON serializable,1.8657731890002651,retrieval_022,retrieval,"[""CLARITY_IMPLICIT"", ""META_OPPOSITE_DIRECTION"", ""RET_DIAGRAM"", ""RET_TABLE"", ""RET_NEAR_MISS""]",medium,car_opposite_direction,implicit_metadata,natural,True,True,retrieval_022,,retrieval,"[""CLARITY_IMPLICIT"", ""META_OPPOSITE_DIRECTION"", ""RET_DIAGRAM"", ""RET_TABLE"", ""RET_NEAR_MISS""]",medium,car_opposite_direction,implicit_metadata,natural,True,True,맞은편 차가 중앙선을 넘어 좌회전 또는 유턴하다가 제 직진차와 충돌했습니다.,Object of type float32 is not JSON serializable,TypeError,,"[""차31-3""]",[],"[""차31-2"", ""차31-4""]",,,[],"[""차31-3"", ""중앙선침범 좌회전"", ""A0"", ""B100""]",True,True,0,"expected_or_acceptable=['차31-3'], actual_topk=[]",1,No expected location.,1,No expected party_type.,1,No expected chunk_type.,0.0,"matched=[], total=4",0.0,"expected_rank=None, near_miss_rank=None, actual_topk=[]",0.6,Average of diagram/location/party/chunk/keyword retrieval checks.,1,1 means a critical retrieval mismatch was detected.
Object of type float32 is not JSON serializable,2.0414575570002853,retrieval_023,retrieval,"[""CLARITY_IMPLICIT"", ""META_INTERSECTION"", ""RET_DIAGRAM"", ""RET_TABLE"", ""RET_NEAR_MISS""]",hard,bicycle_intersection,implicit_metadata,colloquial,True,True,retrieval_023,,retrieval,"[""CLARITY_IMPLICIT"", ""META_INTERSECTION"", ""RET_DIAGRAM"", ""RET_TABLE"", ""RET_NEAR_MISS""]",hard,bicycle_intersection,implicit_metadata,colloquial,True,True,교차로에서 녹색 비보호 좌회전 자전거가 맞은편 녹색 직진 자동차와 부딪혔어요.,Object of type float32 is not JSON serializable,TypeError,,"[""거2-2""]",[],"[""거2-1"", ""거5-1""]",,,[],"[""거2-2"", ""비보호 좌회전"", ""마주보는 방향"", ""A60"", ""B40""]",True,True,0,"expected_or_acceptable=['거2-2'], actual_topk=[]",1,No expected location.,1,No expected party_type.,1,No expected chunk_type.,0.0,"matched=[], total=5",0.0,"expected_rank=None, near_miss_rank=None, actual_topk=[]",0.6,Average of diagram/location/party/chunk/keyword retrieval checks.,1,1 means a critical retrieval mismatch was detected.
