evaluation_suite,example_id,inputs.question,case_type_codes,difficulty,inference_type,error,execution_time,outputs.is_sufficient,outputs.party_type,outputs.location,outputs.retrieval_query,outputs.missing_fields,outputs.follow_up_questions,outputs.search_metadata,reference.expected_is_sufficient,reference.expected_party_type,reference.expected_location,reference.expected_missing_fields,reference.expected_follow_up_questions_contain,reference.forbidden_filters,feedback.intake_is_sufficient,feedback.party_type_match,feedback.location_match,feedback.missing_fields_match,feedback.follow_up_contains,feedback.forbidden_filter_absent,feedback.intake_overall
intake,intake_011,"마주보는 방향 진행차량 상호 간의 사고로, 중앙선을 넘어온 맞은편 자동차와 정면으로 부딪혔어요.","[""CLARITY_EXPLICIT"", ""META_PARTY"", ""META_OPPOSITE_DIRECTION"", ""INTAKE_FULL""]",easy,explicit_keyword,,2.2292871560057392,True,자동차,마주보는 방향 진행차량 상호 간의 사고,,[],[],"{""party_type"": ""자동차"", ""location"": ""마주보는 방향 진행차량 상호 간의 사고"", ""retrieval_query"": null, ""query_slots"": {""road_control"": null, ""relation"": null, ""a_signal"": null, ""b_signal"": null, ""a_movement"": null, ""b_movement"": null, ""road_priority"": null, ""special_condition"": null}}",True,자동차,마주보는 방향 진행차량 상호 간의 사고,[],[],[],1,1,1,1,1,1,1.0
intake,intake_012,같은 방향으로 가던 옆 자동차가 제 차로로 들어오다가 긁었습니다.,"[""CLARITY_EXPLICIT"", ""META_PARTY"", ""META_SAME_DIRECTION"", ""INTAKE_FULL""]",easy,explicit_keyword,,3.529916294995928,False,자동차,,,"[""location""]","[""사고가 발생한 장소는 어디인가요? 횡단보도나 교차로와 관련이 있나요?""]","{""party_type"": ""자동차"", ""location"": null, ""retrieval_query"": null, ""query_slots"": {""road_control"": null, ""relation"": null, ""a_signal"": null, ""b_signal"": null, ""a_movement"": null, ""b_movement"": null, ""road_priority"": null, ""special_condition"": null}}",True,자동차,같은 방향 진행차량 상호간의 사고,[],[],[],0,1,0,0,1,1,0.5
intake,intake_013,주차장에서 자동차가 후진하다가 다른 차와 접촉했어요.,"[""CLARITY_IMPLICIT"", ""META_PARTY"", ""META_OTHER"", ""INTAKE_FULL""]",medium,implicit_metadata,,2.5100627439969685,True,자동차,기타,,[],[],"{""party_type"": ""자동차"", ""location"": ""기타"", ""retrieval_query"": null, ""query_slots"": {""road_control"": null, ""relation"": null, ""a_signal"": null, ""b_signal"": null, ""a_movement"": null, ""b_movement"": null, ""road_priority"": null, ""special_condition"": null}}",True,자동차,기타,[],[],[],1,1,1,1,1,1,1.0
intake,intake_014,차랑 사고났어요.,"[""CLARITY_INCOMPLETE"", ""META_PARTY"", ""INTAKE_PARTIAL"", ""INTAKE_FOLLOWUP""]",hard,incomplete,,4.289464342989959,False,자동차,,,"[""location""]","[""사고가 발생한 장소는 어디인가요? 횡단보도 내, 횡단보도 부근, 횡단보도 없음, 교차로 사고 중 어떤 곳인지 알려주세요.""]","{""party_type"": ""자동차"", ""location"": null, ""retrieval_query"": null, ""query_slots"": {""road_control"": null, ""relation"": null, ""a_signal"": null, ""b_signal"": null, ""a_movement"": null, ""b_movement"": null, ""road_priority"": null, ""special_condition"": null}}",False,자동차,,"[""location""]","[""사고 상황""]","[{""location"": ""교차로 사고""}]",1,1,1,1,0,1,0.8333333333333334
intake,intake_015,비슷한 기준 찾아줘.,"[""CLARITY_INCOMPLETE"", ""INTAKE_NONE"", ""INTAKE_FOLLOWUP""]",hard,incomplete,,4.072684439001023,False,,,,"[""party_type"", ""location""]","[""사고에 관련된 주체는 무엇인가요? (예: 보행자, 자동차, 자전거)"", ""사고가 발생한 장소는 어디인가요? (예: 횡단보도 내, 교차로 사고 등)""]","{""party_type"": null, ""location"": null, ""retrieval_query"": null, ""query_slots"": {""road_control"": null, ""relation"": null, ""a_signal"": null, ""b_signal"": null, ""a_movement"": null, ""b_movement"": null, ""road_priority"": null, ""special_condition"": null}}",False,,,"[""party_type"", ""location""]","[""상대"", ""사고""]","[{""party_type"": ""보행자""}, {""location"": ""횡단보도 내""}]",1,1,1,1,0,1,0.8333333333333334
intake,intake_016,과실비율이 뭐예요?,"[""CLARITY_INCOMPLETE"", ""INTAKE_NONE"", ""INTAKE_FOLLOWUP""]",easy,incomplete,,3.3055156439950224,False,,,,"[""party_type"", ""location""]","[""사고에 관련된 당사자와 사고 장소에 대한 정보를 제공해 주실 수 있나요?""]","{""party_type"": null, ""location"": null, ""retrieval_query"": null, ""query_slots"": {""road_control"": null, ""relation"": null, ""a_signal"": null, ""b_signal"": null, ""a_movement"": null, ""b_movement"": null, ""road_priority"": null, ""special_condition"": null}}",False,,,"[""party_type"", ""location""]","[""사고 상황""]","[{""party_type"": ""자동차""}, {""location"": ""기타""}]",1,1,1,1,0,1,0.8333333333333334
intake,intake_017,횡단보도 근처인지 안인지 헷갈리는데 사람이 건너다가 사고났어요.,"[""CLARITY_DISTRACTOR"", ""META_PARTY"", ""INTAKE_PARTIAL"", ""INTAKE_FOLLOWUP""]",hard,incomplete,,3.3685517760022776,False,보행자,,,"[""location""]","[""사고가 발생한 정확한 위치는 어디인가요?""]","{""party_type"": ""보행자"", ""location"": null, ""retrieval_query"": null, ""query_slots"": {""road_control"": null, ""relation"": null, ""a_signal"": null, ""b_signal"": null, ""a_movement"": null, ""b_movement"": null, ""road_priority"": null, ""special_condition"": null}}",False,보행자,,"[""location""]","[""횡단보도"", ""안""]","[{""location"": ""횡단보도 내""}, {""location"": ""횡단보도 부근""}]",1,1,1,1,0,1,0.8333333333333334
intake,intake_018,상대가 자전거인지 오토바이인지 정확히 못 봤고 교차로였어요.,"[""CLARITY_DISTRACTOR"", ""META_LOCATION"", ""META_INTERSECTION"", ""INTAKE_PARTIAL"", ""INTAKE_FOLLOWUP""]",hard,incomplete,,4.1656958770036,False,,교차로 사고,,"[""party_type""]","[""상대방의 차량 종류를 더 확실히 알 수 있나요?""]","{""party_type"": null, ""location"": ""교차로 사고"", ""retrieval_query"": null, ""query_slots"": {""road_control"": null, ""relation"": null, ""a_signal"": null, ""b_signal"": null, ""a_movement"": null, ""b_movement"": null, ""road_priority"": null, ""special_condition"": null}}",False,,교차로 사고,"[""party_type""]","[""상대""]","[{""party_type"": ""자전거""}, {""party_type"": ""자동차""}]",1,1,1,1,1,1,1.0
intake,intake_019,횡단보도 안이었어요.,"[""CLARITY_EXPLICIT"", ""META_CROSSWALK_IN"", ""INTAKE_FOLLOWUP"", ""INTAKE_FULL""]",medium,explicit_keyword,,2.60510512800829,False,,횡단보도 없음,,"[""party_type""]","[""사고에 관련된 차량이나 보행자가 있었나요?""]","{""party_type"": null, ""location"": ""횡단보도 없음"", ""retrieval_query"": null, ""query_slots"": {""road_control"": null, ""relation"": null, ""a_signal"": null, ""b_signal"": null, ""a_movement"": null, ""b_movement"": null, ""road_priority"": null, ""special_condition"": null}}",True,보행자,횡단보도 내,[],[],[],0,0,0,0,1,1,0.3333333333333333
intake,intake_020,자동차였어요.,"[""CLARITY_EXPLICIT"", ""META_PARTY"", ""META_SAME_DIRECTION"", ""INTAKE_FOLLOWUP"", ""INTAKE_FULL""]",medium,explicit_keyword,,2.5604131720028818,False,자동차,,,"[""location""]","[""사고가 발생한 장소는 어디인가요?""]","{""party_type"": ""자동차"", ""location"": null, ""retrieval_query"": null, ""query_slots"": {""road_control"": null, ""relation"": null, ""a_signal"": null, ""b_signal"": null, ""a_movement"": null, ""b_movement"": null, ""road_priority"": null, ""special_condition"": null}}",True,자동차,같은 방향 진행차량 상호간의 사고,[],[],[],0,1,0,0,1,1,0.5
