evaluation_suite,example_id,inputs.question,case_type_codes,difficulty,inference_type,error,execution_time,outputs.error,outputs.error_type,reference.expected_is_sufficient,reference.expected_party_type,reference.expected_location,reference.expected_missing_fields,reference.expected_follow_up_questions_contain,reference.forbidden_filters,feedback.intake_is_sufficient,feedback.party_type_match,feedback.location_match,feedback.missing_fields_match,feedback.follow_up_contains,feedback.forbidden_filter_absent,feedback.intake_overall
intake,intake_011,"마주보는 방향 진행차량 상호 간의 사고로, 중앙선을 넘어온 맞은편 자동차와 정면으로 부딪혔어요.","[""CLARITY_EXPLICIT"", ""META_PARTY"", ""META_OPPOSITE_DIRECTION"", ""INTAKE_FULL""]",easy,explicit_keyword,The api_key client option must be set either by passing api_key to the client or by setting the OPENAI_API_KEY environment variable,3.7053003325127065e-05,The api_key client option must be set either by passing api_key to the client or by setting the OPENAI_API_KEY environment variable,OpenAIError,True,자동차,마주보는 방향 진행차량 상호 간의 사고,[],[],[],0,0,0,0,0,0,0.0
intake,intake_012,같은 방향으로 가던 옆 자동차가 제 차로로 들어오다가 긁었습니다.,"[""CLARITY_EXPLICIT"", ""META_PARTY"", ""META_SAME_DIRECTION"", ""INTAKE_FULL""]",easy,explicit_keyword,The api_key client option must be set either by passing api_key to the client or by setting the OPENAI_API_KEY environment variable,3.823499719146639e-05,The api_key client option must be set either by passing api_key to the client or by setting the OPENAI_API_KEY environment variable,OpenAIError,True,자동차,같은 방향 진행차량 상호간의 사고,[],[],[],0,0,0,0,0,0,0.0
intake,intake_013,주차장에서 자동차가 후진하다가 다른 차와 접촉했어요.,"[""CLARITY_IMPLICIT"", ""META_PARTY"", ""META_OTHER"", ""INTAKE_FULL""]",medium,implicit_metadata,The api_key client option must be set either by passing api_key to the client or by setting the OPENAI_API_KEY environment variable,3.65209998562932e-05,The api_key client option must be set either by passing api_key to the client or by setting the OPENAI_API_KEY environment variable,OpenAIError,True,자동차,기타,[],[],[],0,0,0,0,0,0,0.0
intake,intake_014,차랑 사고났어요.,"[""CLARITY_INCOMPLETE"", ""META_PARTY"", ""INTAKE_PARTIAL"", ""INTAKE_FOLLOWUP""]",hard,incomplete,The api_key client option must be set either by passing api_key to the client or by setting the OPENAI_API_KEY environment variable,3.6694997106678784e-05,The api_key client option must be set either by passing api_key to the client or by setting the OPENAI_API_KEY environment variable,OpenAIError,False,자동차,,"[""location""]","[""사고 상황""]","[{""location"": ""교차로 사고""}]",0,0,0,0,0,0,0.0
intake,intake_015,비슷한 기준 찾아줘.,"[""CLARITY_INCOMPLETE"", ""INTAKE_NONE"", ""INTAKE_FOLLOWUP""]",hard,incomplete,The api_key client option must be set either by passing api_key to the client or by setting the OPENAI_API_KEY environment variable,5.234399577602744e-05,The api_key client option must be set either by passing api_key to the client or by setting the OPENAI_API_KEY environment variable,OpenAIError,False,,,"[""party_type"", ""location""]","[""상대"", ""사고""]","[{""party_type"": ""보행자""}, {""location"": ""횡단보도 내""}]",0,0,0,0,0,0,0.0
intake,intake_016,과실비율이 뭐예요?,"[""CLARITY_INCOMPLETE"", ""INTAKE_NONE"", ""INTAKE_FOLLOWUP""]",easy,incomplete,The api_key client option must be set either by passing api_key to the client or by setting the OPENAI_API_KEY environment variable,3.74710070900619e-05,The api_key client option must be set either by passing api_key to the client or by setting the OPENAI_API_KEY environment variable,OpenAIError,False,,,"[""party_type"", ""location""]","[""사고 상황""]","[{""party_type"": ""자동차""}, {""location"": ""기타""}]",0,0,0,0,0,0,0.0
intake,intake_017,횡단보도 근처인지 안인지 헷갈리는데 사람이 건너다가 사고났어요.,"[""CLARITY_DISTRACTOR"", ""META_PARTY"", ""INTAKE_PARTIAL"", ""INTAKE_FOLLOWUP""]",hard,incomplete,The api_key client option must be set either by passing api_key to the client or by setting the OPENAI_API_KEY environment variable,3.563400241546333e-05,The api_key client option must be set either by passing api_key to the client or by setting the OPENAI_API_KEY environment variable,OpenAIError,False,보행자,,"[""location""]","[""횡단보도"", ""안""]","[{""location"": ""횡단보도 내""}, {""location"": ""횡단보도 부근""}]",0,0,0,0,0,0,0.0
intake,intake_018,상대가 자전거인지 오토바이인지 정확히 못 봤고 교차로였어요.,"[""CLARITY_DISTRACTOR"", ""META_LOCATION"", ""META_INTERSECTION"", ""INTAKE_PARTIAL"", ""INTAKE_FOLLOWUP""]",hard,incomplete,The api_key client option must be set either by passing api_key to the client or by setting the OPENAI_API_KEY environment variable,3.8183003198355436e-05,The api_key client option must be set either by passing api_key to the client or by setting the OPENAI_API_KEY environment variable,OpenAIError,False,,교차로 사고,"[""party_type""]","[""상대""]","[{""party_type"": ""자전거""}, {""party_type"": ""자동차""}]",0,0,0,0,0,0,0.0
intake,intake_019,횡단보도 안이었어요.,"[""CLARITY_EXPLICIT"", ""META_CROSSWALK_IN"", ""INTAKE_FOLLOWUP"", ""INTAKE_FULL""]",medium,explicit_keyword,The api_key client option must be set either by passing api_key to the client or by setting the OPENAI_API_KEY environment variable,4.723499296233058e-05,The api_key client option must be set either by passing api_key to the client or by setting the OPENAI_API_KEY environment variable,OpenAIError,True,보행자,횡단보도 내,[],[],[],0,0,0,0,0,0,0.0
intake,intake_020,자동차였어요.,"[""CLARITY_EXPLICIT"", ""META_PARTY"", ""META_SAME_DIRECTION"", ""INTAKE_FOLLOWUP"", ""INTAKE_FULL""]",medium,explicit_keyword,The api_key client option must be set either by passing api_key to the client or by setting the OPENAI_API_KEY environment variable,3.9466001908294857e-05,The api_key client option must be set either by passing api_key to the client or by setting the OPENAI_API_KEY environment variable,OpenAIError,True,자동차,같은 방향 진행차량 상호간의 사고,[],[],[],0,0,0,0,0,0,0.0
